Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,FormH,FormA,PositionH,PositionA
19/01/13,Swansea,Stoke,H,2.2,3.4,3.6,,,,
19/01/13,West Brom,Aston Villa,D,1.75,4,5,,,,
19/01/13,West Ham,QPR,D,2.1,3.5,3.75,,,,
19/01/13,Wigan,Sunderland,A,2.15,3.4,3.8,,,,
20/01/13,Chelsea,Arsenal,H,1.91,3.6,4,,,,
20/01/13,Tottenham,Man United,D,2.9,3.6,2.5,,,,
21/01/13,Southampton,Everton,D,3.6,3.5,2.05,,,,
23/01/13,Arsenal,West Ham,H,1.44,4.75,8,,,,
29/01/13,Aston Villa,Newcastle,A,2.9,3.4,2.6,,,,
29/01/13,QPR,Man City,D,7.5,4.5,1.5,,,,
29/01/13,Stoke,Wigan,D,2.2,3.3,3.75,,,,
29/01/13,Sunderland,Swansea,D,2.5,3.4,3,,,,
30/01/13,Arsenal,Liverpool,D,2.4,3.5,3.1,,,,
30/01/13,Everton,West Brom,H,1.6,4.1,6.5,,,,
30/01/13,Fulham,West Ham,H,2.2,3.5,3.5,,,,
30/01/13,Man United,Southampton,H,1.25,6.5,14,,,,
30/01/13,Norwich,Tottenham,D,4.75,3.75,1.83,,,,
30/01/13,Reading,Chelsea,D,7.5,4.5,1.5,,,,
2/2/2013,Arsenal,Stoke,H,1.44,4.5,9,,,,
2/2/2013,Everton,Aston Villa,D,1.4,5,9,,,,
2/2/2013,Fulham,Man United,A,5.5,4.2,1.65,,,,
2/2/2013,Newcastle,Chelsea,H,4,3.6,2,,,,
2/2/2013,QPR,Norwich,D,1.95,3.6,4.33,,,,
2/2/2013,Reading,Sunderland,H,2.5,3.4,3,,,,
2/2/2013,West Ham,Swansea,H,2.4,3.4,3.2,,,,
2/2/2013,Wigan,Southampton,D,2.2,3.5,3.5,,,,
3/2/2013,Man City,Liverpool,D,1.83,3.9,4.5,,,,
3/2/2013,West Brom,Tottenham,A,3.6,3.4,2.2,,,,
9/2/2013,Chelsea,Wigan,H,1.36,5.5,9.5,,,,
9/2/2013,Norwich,Fulham,D,2.3,3.4,3.4,,,,
9/2/2013,Southampton,Man City,H,5.75,4,1.67,,,,
9/2/2013,Stoke,Reading,H,1.91,3.5,4.6,,,,
9/2/2013,Sunderland,Arsenal,A,4.5,3.6,1.91,,,,
9/2/2013,Swansea,QPR,H,1.83,3.75,4.75,,,,
9/2/2013,Tottenham,Newcastle,H,1.67,4,5.75,,,,
10/2/2013,Aston Villa,West Ham,H,2.63,3.4,2.88,,,,
10/2/2013,Man United,Everton,H,1.75,3.9,5,,,,
11/2/2013,Liverpool,West Brom,A,1.4,5,9,,,,
17/02/13,Liverpool,Swansea,H,1.57,4.4,6,,,,
23/02/13,Arsenal,Aston Villa,H,1.33,5.5,11,,,,
23/02/13,Fulham,Stoke,H,2.2,3.3,3.75,,,,
23/02/13,Norwich,Everton,H,3.8,3.5,2.1,,,,
23/02/13,QPR,Man United,A,7,4.33,1.53,,,,
23/02/13,Reading,Wigan,A,2.63,3.4,2.88,,,,
23/02/13,West Brom,Sunderland,H,2.05,3.5,4,,,,
24/02/13,Man City,Chelsea,H,1.95,3.6,4.33,,,,
24/02/13,Newcastle,Southampton,H,2.2,3.5,3.2,,,,
25/02/13,West Ham,Tottenham,A,3.6,3.5,2.15,,,,
2/3/2013,Chelsea,West Brom,H,1.4,5,9,,,,
2/3/2013,Everton,Reading,H,1.38,5,10,,,,
2/3/2013,Man United,Norwich,H,1.33,5.5,11,,,,
2/3/2013,Southampton,QPR,A,1.85,3.8,4.5,,,,
2/3/2013,Stoke,West Ham,A,2.15,3.25,4,,,,
2/3/2013,Sunderland,Fulham,D,2.4,3.3,3.3,,,,
2/3/2013,Swansea,Newcastle,H,2.1,3.6,3.75,,,,
2/3/2013,Wigan,Liverpool,A,4.5,3.75,1.85,,,,
3/3/2013,Tottenham,Arsenal,H,2.3,3.6,3.25,,,,
4/3/2013,Aston Villa,Man City,A,7.5,4.5,1.44,,,,
9/3/2013,Norwich,Southampton,D,2.5,3.4,3,,,,
9/3/2013,QPR,Sunderland,H,2.25,3.4,3.5,,,,
9/3/2013,Reading,Aston Villa,A,2.45,3.4,3.1,,,,
9/3/2013,West Brom,Swansea,H,2.45,3.3,3.2,,,,
10/3/2013,Liverpool,Tottenham,H,1.95,3.8,4,,,,
10/3/2013,Newcastle,Stoke,H,1.83,3.7,4.8,,,,
16/03/13,Aston Villa,QPR,H,2.3,3.4,3.4,,,,
16/03/13,Everton,Man City,H,3.9,3.6,2.05,,,,
16/03/13,Man United,Reading,H,1.17,9,19,,,,
16/03/13,Southampton,Liverpool,H,4.2,3.8,1.91,,,,
16/03/13,Stoke,West Brom,D,2.5,3.3,3.1,,,,
16/03/13,Swansea,Arsenal,A,3.4,3.5,2.25,,,,
17/03/13,Chelsea,West Ham,H,1.4,5,9,,,,
17/03/13,Sunderland,Norwich,D,2.05,3.5,4,,,,
17/03/13,Tottenham,Fulham,A,1.5,4.5,7.5,,,,
17/03/13,Wigan,Newcastle,H,2.3,3.4,3.4,,,,
30/03/13,Arsenal,Reading,H,1.25,6.5,15,,,,
30/03/13,Everton,Stoke,H,1.57,3.9,7.5,,,,
30/03/13,Man City,Newcastle,H,1.33,5.5,11,,,,
30/03/13,Southampton,Chelsea,H,3.5,3.5,2.2,,,,
30/03/13,Sunderland,Man United,A,6,4,1.65,,,,
30/03/13,Swansea,Tottenham,A,3.4,3.4,2.3,,,,
30/03/13,West Ham,West Brom,H,2.3,3.4,3.4,,,,
30/03/13,Wigan,Norwich,H,1.95,3.6,4.33,,,,
31/03/13,Aston Villa,Liverpool,A,5,4,1.75,,,,
1/4/2013,Fulham,QPR,H,2,3.6,4,,,,
6/4/2013,Norwich,Swansea,D,2.63,3.3,2.9,,,,
6/4/2013,Reading,Southampton,A,3.3,3.6,2.25,,,,
6/4/2013,Stoke,Aston Villa,A,2.1,3.4,4,,,,
6/4/2013,West Brom,Arsenal,A,4.1,3.7,1.95,,,,
7/4/2013,Chelsea,Sunderland,H,1.36,5,11,,,,
7/4/2013,Liverpool,West Ham,D,1.36,5.5,9,,,,
7/4/2013,Newcastle,Fulham,H,2.1,3.5,3.8,,,,
7/4/2013,QPR,Wigan,D,2.38,3.4,3.25,,,,
7/4/2013,Tottenham,Everton,D,2.2,3.4,3.6,,,,
8/4/2013,Man United,Man City,A,2.3,3.5,3.3,,,,
13/04/13,Arsenal,Norwich,H,1.25,6.5,14,,,,
13/04/13,Aston Villa,Fulham,D,2.3,3.3,3.5,,,,
13/04/13,Everton,QPR,H,1.44,4.75,8,,,,
13/04/13,Reading,Liverpool,D,8,4.75,1.45,,,,
13/04/13,Southampton,West Ham,D,1.91,3.75,4.2,,,,
14/04/13,Newcastle,Sunderland,A,1.95,3.5,4.5,,,,
14/04/13,Stoke,Man United,A,7,3.9,1.6,,,,
16/04/13,Arsenal,Everton,D,1.75,3.9,5,,,,
17/04/13,Fulham,Chelsea,A,4.75,3.8,1.8,,,,
17/04/13,Man City,Wigan,H,1.25,6.5,14,,,,
17/04/13,West Ham,Man United,D,5.5,3.9,1.7,,,,
20/04/13,Fulham,Arsenal,A,5,4,1.75,,,,
20/04/13,Norwich,Reading,H,1.75,3.8,5.25,,,,
20/04/13,QPR,Stoke,A,2.25,3.4,3.5,,,,
20/04/13,Sunderland,Everton,H,3.4,3.4,2.3,,,,
20/04/13,Swansea,Southampton,D,2.38,3.5,3.1,,,,
20/04/13,West Brom,Newcastle,D,2.25,3.5,3.4,,,,
20/04/13,West Ham,Wigan,H,2.3,3.5,3.3,,,,
21/04/13,Liverpool,Chelsea,D,2.15,3.6,3.6,,,,
21/04/13,Tottenham,Man City,H,3.25,3.6,2.3,,,,
22/04/13,Man United,Aston Villa,H,1.25,6.75,13,,,,
27/04/13,Everton,Fulham,H,1.5,4.5,7.5,,,,
27/04/13,Man City,West Ham,H,1.29,6,12,,,,
27/04/13,Newcastle,Liverpool,A,2.88,3.6,2.5,,,,
27/04/13,Southampton,West Brom,A,1.85,3.75,4.6,,,,
27/04/13,Stoke,Norwich,H,2.25,3.3,3.6,,,,
27/04/13,Wigan,Tottenham,D,3.8,3.6,2.05,,,,
28/04/13,Arsenal,Man United,D,2.25,3.6,3.3,,,,
28/04/13,Chelsea,Swansea,H,1.36,5.5,9,,,,
28/04/13,Reading,QPR,D,2.55,3.5,2.88,,,,
29/04/13,Aston Villa,Sunderland,H,2.3,3.4,3.4,,,,
4/5/2013,Fulham,Reading,A,1.73,3.9,5.25,,,,
4/5/2013,Norwich,Aston Villa,A,2.55,3.3,3,,,,
4/5/2013,QPR,Arsenal,A,8,4.75,1.44,,,,
4/5/2013,Swansea,Man City,D,5.25,3.8,1.75,,,,
4/5/2013,Tottenham,Southampton,H,1.44,4.75,8,,,,
4/5/2013,West Brom,Wigan,A,2.45,3.5,3,,,,
4/5/2013,West Ham,Newcastle,D,2.38,3.4,3.25,,,,
5/5/2013,Liverpool,Everton,D,1.95,3.6,4.2,,,,
5/5/2013,Man United,Chelsea,A,2.2,3.5,3.5,,,,
6/5/2013,Sunderland,Stoke,D,2.1,3.3,4,,,,
7/5/2013,Man City,West Brom,H,1.4,5,9,,,,
7/5/2013,Wigan,Swansea,A,1.83,3.75,4.75,,,,
8/5/2013,Chelsea,Tottenham,D,1.95,3.75,4,,,,
11/5/2013,Aston Villa,Chelsea,A,4.5,3.8,1.85,,,,
12/5/2013,Everton,West Ham,H,1.5,4.5,7.5,,,,
12/5/2013,Fulham,Liverpool,A,3.9,3.6,2.05,,,,
12/5/2013,Man United,Swansea,H,1.3,5.75,12,,,,
12/5/2013,Norwich,West Brom,H,2.2,3.4,3.6,,,,
12/5/2013,QPR,Newcastle,A,3.4,3.4,2.3,,,,
12/5/2013,Stoke,Tottenham,A,4.5,3.6,1.91,,,,
12/5/2013,Sunderland,Southampton,D,2.8,3.2,2.8,,,,
14/05/13,Arsenal,Wigan,H,1.4,5.5,8,,,,
14/05/13,Reading,Man City,A,6,4.33,1.6,,,,
19/05/13,Chelsea,Everton,H,1.7,4,5.5,,,,
19/05/13,Liverpool,QPR,H,1.25,7,12,,,,
19/05/13,Man City,Norwich,A,1.33,5.5,11,,,,
19/05/13,Newcastle,Arsenal,A,6,4.6,1.55,,,,
19/05/13,Southampton,Stoke,D,1.75,3.8,5.25,,,,
19/05/13,Swansea,Fulham,A,1.8,3.8,4.75,,,,
19/05/13,Tottenham,Sunderland,H,1.29,6,12,,,,
19/05/13,West Brom,Man United,D,4.5,3.9,1.83,,,,
19/05/13,West Ham,Reading,H,1.67,4,5.75,,,,
19/05/13,Wigan,Aston Villa,D,2.15,3.6,3.6,,,,
