Date,HomeTeam,AwayTeam,FormH,FormA,PositionH,PositionA,HSPG,ASPG,HSTPG,ASTPG,B365H,B365D,B365A,FTR
9/12/2012,Man City,Man United,good,good,2,1,16.47,14.47,9.47,8.27,2.2,3.5,3.2,A
9/12/2012,West Ham,Liverpool,average,average,7,8,11.73,16.67,7.2,8.73,3,3.3,2.38,A
10/12/2012,Fulham,Newcastle,poor,average,8,8,12.47,12.2,7.8,5.87,1.91,3.6,4,H
11/12/2012,Sunderland,Reading,poor,poor,11,12,9.93,10.2,5.47,5.2,2,3.5,3.75,H
15/12/12,Liverpool,Aston Villa,good,good,7,11,16.63,10.5,8.69,6.19,1.36,4.75,9,A
15/12/12,Man United,Sunderland,good,average,1,11,14.06,10.31,7.94,5.81,1.2,6.5,15,H
15/12/12,Newcastle,Man City,average,average,10,2,12.69,16.44,6.31,9.56,5.5,3.75,1.67,A
15/12/12,Norwich,Wigan,good,poor,7,12,9.94,11.56,5.31,6.25,2.2,3.4,3.25,H
15/12/12,QPR,Fulham,average,average,15,9,12.44,12.69,7.13,7.75,2.4,3.4,2.88,H
15/12/12,Stoke,Everton,good,good,7,4,8.75,16.88,4.38,9.69,3.1,3.2,2.4,D
16/12/12,Tottenham,Swansea,good,good,5,8,14.63,13.5,8.38,8.0,1.62,4,5.5,H
16/12/12,West Brom,West Ham,poor,average,5,9,11.13,11.56,6.19,7.13,2,3.5,3.75,D
17/12/12,Reading,Arsenal,poor,average,15,6,10.31,14.06,5.19,7.63,5.5,4,1.62,A
22/12/12,Liverpool,Fulham,good,average,8,9,17.18,12.29,9.18,7.47,1.53,4,6.5,H
22/12/12,Man City,Reading,average,poor,2,14,16.41,10.12,9.59,5.18,1.14,8,19,H
22/12/12,Newcastle,QPR,average,good,10,13,12.94,12.82,6.41,7.24,2.1,3.4,3.5,H
22/12/12,Southampton,Sunderland,average,average,11,10,12.13,10.47,6.19,6.06,2,3.5,3.75,A
22/12/12,Tottenham,Stoke,good,good,3,6,15.18,9.06,8.82,4.59,1.62,3.75,6,D
22/12/12,West Brom,Norwich,poor,good,5,6,11.59,10.29,6.41,5.59,1.91,3.6,4,H
22/12/12,West Ham,Everton,average,good,7,5,11.47,16.41,6.82,9.41,2.88,3.25,2.5,A
22/12/12,Wigan,Arsenal,poor,good,11,5,11.59,14.71,6.24,8.18,4.75,3.75,1.73,A
23/12/12,Chelsea,Aston Villa,average,good,4,9,13.44,10.41,7.75,6.18,1.33,5.5,8.5,H
23/12/12,Swansea,Man United,average,good,6,1,12.94,14.12,7.53,7.82,5,4,1.67,D
26/12/12,Aston Villa,Tottenham,average,average,10,4,10.22,15.5,6.06,9.11,3.75,3.5,2,A
26/12/12,Everton,Wigan,good,poor,5,12,16.33,11.67,9.33,6.17,1.44,4.5,7,H
26/12/12,Fulham,Southampton,average,average,9,12,12.0,12.18,7.39,6.24,1.85,3.6,4.2,D
26/12/12,Man United,Newcastle,good,average,1,10,14.39,13.22,8.28,6.5,1.22,6.5,13,H
26/12/12,Norwich,Chelsea,good,good,6,4,10.28,14.06,5.5,8.35,6,3.75,1.62,A
26/12/12,QPR,West Brom,average,average,15,5,12.39,11.61,7.06,6.5,2.2,3.4,3.25,A
26/12/12,Reading,Swansea,poor,poor,16,7,9.89,13.0,4.94,7.67,2.9,3.4,2.38,D
26/12/12,Stoke,Liverpool,average,good,6,6,8.78,17.44,4.44,9.33,3.4,3.2,2.25,H
26/12/12,Sunderland,Man City,good,good,11,2,10.44,16.44,6.06,9.61,6.5,4,1.53,H
29/12/12,Arsenal,Newcastle,good,average,5,11,14.44,13.37,8.17,6.74,1.44,4.5,7,H
29/12/12,Aston Villa,Wigan,average,poor,11,13,9.89,11.58,5.79,6.16,2.4,3.25,3,A
29/12/12,Fulham,Swansea,poor,average,9,6,11.89,12.84,7.11,7.47,2.1,3.4,3.5,A
29/12/12,Man United,West Brom,good,good,1,4,14.47,11.63,8.37,6.47,1.3,5.5,10,H
29/12/12,Norwich,Man City,average,good,6,2,10.16,16.58,5.42,9.74,6,4,1.57,A
29/12/12,Reading,West Ham,poor,poor,13,7,9.53,11.17,4.79,6.72,2.88,3.25,2.5,H
29/12/12,Stoke,Southampton,good,average,5,12,8.68,11.89,4.53,6.06,1.8,3.5,4.75,D
29/12/12,Sunderland,Tottenham,good,good,9,4,10.53,15.74,6.05,9.47,3.5,3.4,2.1,A
30/12/12,Everton,Chelsea,good,good,5,4,16.37,14.39,9.32,8.5,2.88,3.3,2.5,A
30/12/12,QPR,Liverpool,average,average,16,8,12.68,17.16,7.11,9.16,4,3.5,1.91,A
