Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,FormH,FormA,PositionH,PositionA,HS,AS,HST,AST
8/12/2012,Aston Villa,Stoke,D,2.4,3.2,3.1,,,,,9,1,5,0
8/12/2012,Southampton,Reading,H,1.91,3.6,4,,,,,18,6,9,2
8/12/2012,Sunderland,Chelsea,A,4.75,3.5,1.8,,,,,14,11,10,5
8/12/2012,Swansea,Norwich,A,1.8,3.6,4.5,,,,,21,10,10,8
8/12/2012,Wigan,QPR,D,2.3,3.4,3.1,,,,,14,8,9,4
9/12/2012,Everton,Tottenham,H,2,3.5,3.75,,,,,17,8,11,6
9/12/2012,Man City,Man United,A,2.2,3.5,3.2,,,,,16,8,11,3
9/12/2012,West Ham,Liverpool,A,3,3.3,2.38,,,,,9,16,6,8
10/12/2012,Fulham,Newcastle,H,1.91,3.6,4,,,,,16,20,7,13
11/12/2012,Sunderland,Reading,H,2,3.5,3.75,,,,,16,12,11,5
15/12/12,Liverpool,Aston Villa,A,1.36,4.75,9,,,,,26,9,17,6
15/12/12,Man United,Sunderland,H,1.2,6.5,15,,,,,15,13,6,10
15/12/12,Newcastle,Man City,A,5.5,3.75,1.67,,,,,17,16,8,10
15/12/12,Norwich,Wigan,H,2.2,3.4,3.25,,,,,16,12,10,6
15/12/12,QPR,Fulham,H,2.4,3.4,2.88,,,,,19,6,9,3
15/12/12,Stoke,Everton,D,3.1,3.2,2.4,,,,,14,9,8,5
16/12/12,Tottenham,Swansea,H,1.62,4,5.5,,,,,24,4,16,0
16/12/12,West Brom,West Ham,D,2,3.5,3.75,,,,,19,10,10,2
17/12/12,Reading,Arsenal,A,5.5,4,1.62,,,,,7,25,5,17
22/12/12,Liverpool,Fulham,H,1.53,4,6.5,,,,,22,7,12,6
22/12/12,Man City,Reading,H,1.14,8,19,,,,,17,6,10,1
22/12/12,Newcastle,QPR,H,2.1,3.4,3.5,,,,,18,5,8,4
22/12/12,Southampton,Sunderland,A,2,3.5,3.75,,,,,13,10,7,6
22/12/12,Tottenham,Stoke,D,1.62,3.75,6,,,,,21,4,14,2
22/12/12,West Brom,Norwich,H,1.91,3.6,4,,,,,12,10,8,4
22/12/12,West Ham,Everton,A,2.88,3.25,2.5,,,,,6,15,5,8
22/12/12,Wigan,Arsenal,A,4.75,3.75,1.73,,,,,13,10,5,8
23/12/12,Chelsea,Aston Villa,H,1.33,5.5,8.5,,,,,24,7,18,4
23/12/12,Swansea,Man United,D,5,4,1.67,,,,,14,19,10,16
26/12/12,Aston Villa,Tottenham,A,3.75,3.5,2,,,,,4,20,1,16
26/12/12,Everton,Wigan,H,1.44,4.5,7,,,,,17,10,9,6
26/12/12,Fulham,Southampton,D,1.85,3.6,4.2,,,,,10,7,2,3
26/12/12,Man United,Newcastle,H,1.22,6.5,13,,,,,16,16,10,11
26/12/12,Norwich,Chelsea,A,6,3.75,1.62,,,,,8,20,4,11
26/12/12,QPR,West Brom,A,2.2,3.4,3.25,,,,,18,12,8,6
26/12/12,Reading,Swansea,D,2.9,3.4,2.38,,,,,3,10,2,4
26/12/12,Stoke,Liverpool,H,3.4,3.2,2.25,,,,,7,12,6,6
26/12/12,Sunderland,Man City,H,6.5,4,1.53,,,,,12,19,6,12
29/12/12,Arsenal,Newcastle,H,1.44,4.5,7,,,,,16,10,12,8
29/12/12,Aston Villa,Wigan,A,2.4,3.25,3,,,,,11,9,4,6
29/12/12,Fulham,Swansea,A,2.1,3.4,3.5,,,,,22,10,13,9
29/12/12,Man United,West Brom,H,1.3,5.5,10,,,,,17,13,14,9
29/12/12,Norwich,Man City,A,6,4,1.57,,,,,13,13,8,9
29/12/12,Reading,West Ham,H,2.88,3.25,2.5,,,,,3,11,2,3
29/12/12,Stoke,Southampton,D,1.8,3.5,4.75,,,,,10,8,8,7
29/12/12,Sunderland,Tottenham,A,3.5,3.4,2.1,,,,,9,18,6,14
30/12/12,Everton,Chelsea,A,2.88,3.3,2.5,,,,,12,15,6,10
30/12/12,QPR,Liverpool,A,4,3.5,1.91,,,,,14,16,7,11
1/1/2013,Man City,Stoke,H,1.29,5.5,11,,,,,17,4,9,3
1/1/2013,Southampton,Arsenal,D,5,3.75,1.7,,,,,9,6,6,4
1/1/2013,Swansea,Aston Villa,D,1.57,4,6,,,,,23,8,13,6
1/1/2013,Tottenham,Reading,H,1.33,5,10,,,,,30,7,20,4
