Date,HomeTeam,AwayTeam,FormH,FormA,PositionH,PositionA,HSPG,ASPG,HSTPG,ASTPG,MatchRating,GoalDiff,B365H,B365D,B365A,FTR
19/12/09,Aston Villa,Stoke,good,average,4,9,10.94,8.69,6.06,4.0,H,12,1.4,4.33,9,H
19/12/09,Blackburn,Tottenham,average,average,9,4,11.12,16.59,5.88,9.94,A,-14,3.3,3.4,2.2,A
19/12/09,Fulham,Man United,good,good,7,2,10.56,16.18,5.38,9.65,A,-8,6.5,4,1.57,H
19/12/09,Man City,Sunderland,average,poor,6,7,12.44,10.65,7.0,5.71,D,3,1.53,4,7,H
19/12/09,Portsmouth,Liverpool,average,average,14,6,13.59,15.41,7.18,9.0,A,-7,5.5,4,1.62,H
20/12/09,Everton,Birmingham,average,good,11,6,13.25,10.0,8.0,6.06,A,-10,1.83,3.5,4.5,D
20/12/09,West Ham,Chelsea,poor,average,14,1,13.35,19.18,7.76,10.76,A,-14,8.5,4.5,1.4,D
20/12/09,Wolves,Burnley,good,average,13,10,10.53,9.76,5.94,5.59,A,-5,2.1,3.3,3.6,H
26/12/09,Birmingham,Chelsea,good,good,6,1,9.56,19.22,5.78,10.5,D,-2,6.5,3.8,1.57,D
26/12/09,Burnley,Bolton,average,average,9,12,9.78,13.25,5.61,7.0,D,-1,2.38,3.3,3,D
26/12/09,Fulham,Tottenham,good,good,7,4,10.53,16.06,5.47,9.5,A,-6,2.8,3.4,2.5,D
26/12/09,Liverpool,Wolves,average,good,6,9,14.94,10.61,8.67,6.28,H,4,1.29,5.5,11,H
26/12/09,Man City,Stoke,average,poor,6,8,12.35,8.94,6.88,4.06,D,2,1.44,4.33,7.5,H
26/12/09,Sunderland,Everton,poor,average,9,12,10.44,13.59,5.67,7.94,D,2,2.38,3.3,3,D
26/12/09,West Ham,Portsmouth,poor,average,15,16,12.94,13.61,7.61,7.11,A,-4,2.1,3.3,3.6,H
26/12/09,Wigan,Blackburn,poor,poor,13,12,13.24,11.22,6.82,6.06,D,-3,2.3,3.25,3.2,D
27/12/09,Arsenal,Aston Villa,good,good,3,3,15.0,11.28,8.65,6.17,A,-5,1.73,3.5,5,H
27/12/09,Hull,Man United,poor,average,15,3,8.72,16.17,5.06,9.33,A,-14,8,4.2,1.4,A
28/12/09,Blackburn,Sunderland,poor,poor,12,10,11.05,10.42,5.89,5.68,D,2,2.1,3.3,3.6,D
28/12/09,Chelsea,Fulham,good,good,1,9,19.63,10.78,10.58,5.5,A,-4,1.36,4.5,10,H
28/12/09,Everton,Burnley,average,average,13,12,13.5,10.05,7.72,5.68,D,3,1.57,3.8,6.5,H
28/12/09,Stoke,Birmingham,poor,good,12,8,8.83,9.63,4.0,5.68,A,-8,2.4,3.25,3,A
28/12/09,Tottenham,West Ham,good,average,5,14,15.53,12.95,9.05,7.47,H,7,1.44,4.2,8,H
28/12/09,Wolves,Man City,average,good,13,6,10.37,12.33,6.05,6.83,D,-3,4.5,3.6,1.8,A
29/12/09,Aston Villa,Liverpool,good,good,5,7,11.05,14.89,6.0,8.74,D,2,2.8,3.25,2.6,A
29/12/09,Bolton,Hull,good,poor,15,15,13.12,8.89,6.88,5.11,H,6,1.8,3.6,4.75,D
30/12/09,Man United,Wigan,good,average,2,13,16.32,13.28,9.42,6.89,H,17,1.2,6.5,15,H
30/12/09,Portsmouth,Arsenal,average,good,15,3,13.47,15.22,7.11,8.83,A,-8,6.5,4,1.53,A
5/1/2010,Stoke,Fulham,poor,average,11,8,9.0,10.37,4.11,5.37,A,-9,2.63,3.25,2.75,H
